author,degree,betweenness,closeness,eigenvector,clustering,phase,community
AutoModerator,63,0.1506922634373615,0.4090909090909091,5.592980802351127e-07,0.02304927221450341,peak,3
sudo_lol,14,0.0016976487564722858,0.23011363636363638,2.4392689711735764e-07,0.19919037966532363,peak,3
mustberocketscience,9,0.0014170651425553385,0.2202797202797203,2.074154118842651e-07,0.17859017229174748,peak,3
Charming_Will_7917,4,0.0012459529266251968,0.21125186289120718,8.397960650003404e-08,0.37234281223346005,peak,3
itfitsitsits,4,0.0012459529266251968,0.21125186289120718,8.397960650003404e-08,0.37234281223346005,peak,3
Remarkable_Intern230,3,0.0011518075243565453,0.20953436807095346,7.85098580599753e-08,0.4113522911335868,peak,3
Landaree_Levee,9,0.0008276037687802393,0.2202797202797203,1.7060147270322168e-07,0.24663488835274305,peak,3
drizzyxs,8,0.0007167850305105207,0.2184129429892142,1.517412031096145e-07,0.21876960585954025,peak,3
GlitteringCheck4969,4,0.0006366182836771061,0.21125186289120718,7.713097306289856e-08,0.35790275390596715,peak,3
CensuraAncilla5243,4,0.0006366182836771061,0.21125186289120718,7.713097306289856e-08,0.3579027539059671,peak,3
TankMuncher,4,0.0006366182836771061,0.21125186289120718,7.713097306289856e-08,0.35790275390596715,peak,3
magnushammar,5,0.0006093346429480876,0.21299774605559732,7.953416688718601e-08,0.3419973683298291,peak,3
Sir-Peanuts-The-5th,5,0.0006093346429480876,0.21299774605559732,7.953416688718601e-08,0.3419973683298291,peak,3
Comfortable-Active87,5,0.0006093346429480876,0.21299774605559732,7.953416688718601e-08,0.3419973683298291,peak,3
Goofball-John-McGee,5,0.0006093346429480876,0.21299774605559732,7.953416688718601e-08,0.3419973683298291,peak,3
AutoModerator,289,0.7081430517930246,0.679381462505822,0.011129585774740477,0.0120019473337522,post,7
Halo_Onyx,94,0.249440214394569,0.4698292855762417,0.14310172889183373,0.11014389016596253,post,5
Woootdafuuu,72,0.15284082216793737,0.44171522015625947,0.0007018101025846617,0.12940976401597612,post,0
nusodumi,32,0.027900148258131717,0.4222778067280412,0.00040393944840230554,0.17163298492932952,post,4
MakitaNakamoto,9,0.009827416642873019,0.3924852007318911,0.0002229217703686307,0.13374945173538108,post,9
Kathane37,12,0.009795086104213232,0.3936928475033738,0.0002360730269886742,0.11840879185566239,post,9
livejamie,82,0.007420238359612114,0.333203581871345,0.14220856026990944,0.13987154509496272,post,5
Cramson_Sconefield,65,0.006853683455729921,0.45372402637800174,0.1352266618678735,0.17717777074504068,post,5
Optimizing-Energy,26,0.00546177384107641,0.41950877192982455,0.00040304214510287416,0.2503998785382998,post,4
Tec530,26,0.00546177384107641,0.41950877192982455,0.00040304214510287416,0.2503998785382998,post,4
Pseudo-Jonathan,26,0.00546177384107641,0.41950877192982455,0.00040304214510287416,0.2503998785382998,post,4
PassionIll6170,26,0.00546177384107641,0.41950877192982455,0.00040304214510287416,0.2503998785382998,post,4
Joshistotle,26,0.00546177384107641,0.41950877192982455,0.00040304214510287416,0.2503998785382998,post,4
HamAndSomeCoffee,26,0.00546177384107641,0.41950877192982455,0.00040304214510287416,0.2503998785382998,post,4
FudgenuggetsMcGee,26,0.00546177384107641,0.41950877192982455,0.00040304214510287416,0.2503998785382998,post,4
StrikeOner,4,0.0,0.05970149253731343,7.611364920125549e-08,1.0,pre,0
Substantial_Meal7784,4,0.0,0.05970149253731343,7.611364920125549e-08,1.0,pre,0
leanmeanguccimachine,4,0.0,0.05970149253731343,7.611364920125549e-08,1.0,pre,0
silenceimpaired,4,0.0,0.05970149253731343,7.611364920125549e-08,1.0,pre,0
thecal,4,0.0,0.05970149253731343,7.611364920125549e-08,1.0,pre,0
Compducer,5,0.0,0.07462686567164178,2.2727413869656175e-07,1.0,pre,1
PM_ME_UR_CIRCUIT,5,0.0,0.07462686567164178,2.2727413869656175e-07,1.0,pre,1
UnequalBull,5,0.0,0.07462686567164178,2.2727413869656175e-07,1.0,pre,1
bitroll,5,0.0,0.07462686567164178,2.2727413869656175e-07,1.0,pre,1
drefrajo,5,0.0,0.07462686567164178,2.2727413869656175e-07,1.0,pre,1
ivanmf,5,0.0,0.07462686567164178,2.2727413869656175e-07,1.0,pre,1
AutoModerator,1,0.0,0.014925373134328358,3.1176150712834244e-10,0.0,pre,2
Last_Lynx_2679,1,0.0,0.014925373134328358,3.1176150712834244e-10,0.0,pre,2
4onen,54,0.0,0.8059701492537313,0.13483997249262555,1.0,pre,3
AIWithASoulMaybe,54,0.0,0.8059701492537313,0.13483997249262555,1.0,pre,3
